epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1989.24,0.25162,4.45017,1.56128,0.82879,0.66631,0.71541,0.39108,0.35729,5.9908,2.02763,0.0007294,0.0007294,0.0007294
43,4015.8,0.2449,4.07055,1.52585,0.78429,0.75738,0.73927,0.39801,0.35204,5.41706,2.00277,0.0007228,0.0007228,0.0007228
44,6123.46,0.24553,3.98796,1.53452,0.84753,0.73439,0.76046,0.43461,0.34468,4.97828,2.01255,0.0007162,0.0007162,0.0007162
45,8164.69,0.24984,4.13654,1.54074,0.77943,0.71517,0.72777,0.41311,0.37012,5.50358,1.99373,0.0007096,0.0007096,0.0007096
46,10495.3,0.24908,4.28004,1.54242,0.86404,0.70929,0.76263,0.41305,0.34259,5.22303,1.92303,0.000703,0.000703,0.000703
47,12903.6,0.24587,4.19918,1.52908,0.80887,0.69965,0.71744,0.40212,0.34195,5.25353,1.97925,0.0006964,0.0006964,0.0006964
48,15288.4,0.24741,4.21158,1.52605,0.74444,0.68683,0.68728,0.38288,0.34375,5.44502,1.90561,0.0006898,0.0006898,0.0006898
49,17712.4,0.25284,4.39275,1.55034,0.7758,0.67234,0.74853,0.38423,0.35552,5.36605,2.03977,0.0006832,0.0006832,0.0006832
50,19942.5,0.24768,4.2744,1.53402,0.79507,0.71227,0.76698,0.43736,0.31209,4.92728,1.82688,0.0006766,0.0006766,0.0006766
51,22281.9,0.248,4.27496,1.52824,0.79998,0.68759,0.70443,0.36619,0.34862,5.86845,1.98291,0.00067,0.00067,0.00067
52,24584.7,0.25501,4.47403,1.55698,0.75663,0.75887,0.76099,0.42322,0.32414,5.20287,1.7971,0.0006634,0.0006634,0.0006634
53,26615.3,0.25485,4.59676,1.56422,0.78861,0.70964,0.72244,0.39931,0.34857,5.46781,1.87971,0.0006568,0.0006568,0.0006568
54,28606.6,0.25128,4.54307,1.54459,0.75995,0.74954,0.72344,0.38429,0.34009,5.80333,1.91935,0.0006502,0.0006502,0.0006502
55,30502.4,0.24925,4.34735,1.5421,0.7585,0.72937,0.77231,0.47509,0.31573,4.80373,1.79682,0.0006436,0.0006436,0.0006436
56,1753.83,0.23627,3.88602,1.49066,0.81302,0.73993,0.75333,0.40744,0.33943,5.45045,1.8965,0.000637,0.000637,0.000637
57,3595.66,0.23549,3.76565,1.47944,0.78144,0.68901,0.75946,0.42465,0.33,5.13048,1.88399,0.0006304,0.0006304,0.0006304
58,5554.67,0.2318,3.64003,1.47465,0.79758,0.75798,0.81219,0.44102,0.3274,4.66554,1.88217,0.0006238,0.0006238,0.0006238
59,7596.11,0.23864,3.76988,1.49697,0.86738,0.63395,0.7726,0.43309,0.33457,4.73858,1.89045,0.0006172,0.0006172,0.0006172
